"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"PWY-5345",1.49648878969363,0.484708158562584,0.67613189333462,43.6693337123532,0.704540796415907
"PWY-5941",1.00005297283565,0.176431800694065,0.675064178796507,5.60630668850508,0.704540796415907
"PWY-7644",1.00000619880637,0.145080386063502,0.703809388407713,34.3960154310181,0.731332660580081
"PWY-5676",1.00082147969855,0.100427611414585,0.752922064693571,46.5163318096906,0.780186651994452
"P101-PWY",1.00000081690356,0.0844130833277489,0.771788671111102,0.510394161397046,0.797514960148139
"PWY0-41",1.0011552142276,0.0791322861140788,0.780079689760767,57.9814904260543,0.803849431000015
"PWY-5505",1.00204563617798,0.0752314765214749,0.785505599880861,59.2618531298475,0.807204649601327
"P42-PWY",1.00078182421477,0.0714480567106459,0.790208286718891,29.1226303960775,0.809800227711921
"PWY-5655",1.95217756050695,0.368453890078182,0.798793937236876,20.0622903813631,0.814113273019501
"PWY-6147",1.00017303557283,0.0661461577798643,0.797677549297813,23.4672713247738,0.814113273019501
"PWY-1541",1.00000018107897,0.0419942554236718,0.837896556328426,0.442178832961501,0.851632565448564
"PWY-6383",1.38025334391202,0.180360711255519,0.856350125147813,15.6496702796271,0.868017020585794
"PWY-5705",1.0007840933898,0.0285872381393212,0.86778912997788,52.9704070320143,0.877221620521118
"PWY-6317",1.23719765865648,0.0517579721763032,0.893377595059117,43.230377444161,0.900640827539273
"PWY-722",2.07059966265208,0.0201636817252547,0.993716225689829,75.2693701601077,0.999087664747612
"GALACTUROCAT-PWY",1.00011578457491,3.35043857081097e-06,0.999845140621641,15.4274086486059,0.999845140621641
"P381-PWY",2.10290674761955,0.00875689371089226,0.998118840018317,65.2139528373785,0.999845140621641
