"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_904",4.07861562000171,1.50820546681056,1.19504494597634,1.26204915713724,0.206931098532335,0.393508318520506,"Actinomyces"
"ASV_49",415.63224444967,0.836910149017955,0.743376342559992,1.12582295279381,0.260240466738427,0.486901518413831,"[Eubacterium] hallii group"
"ASV_260",18.4037248202518,0.880057825718812,0.829591376795518,1.06083289958754,0.288765847864944,0.531695846862437,"UBA1819"
"ASV_340",8.35474623021916,1.65600759218233,1.58510648603179,1.04472955399232,0.296147981546517,0.536768216553063,"Lachnospiraceae UCG-010"
"ASV_121",187.325076067803,-1.48921001233207,1.57186997810216,-0.947412975041429,0.34342838203573,0.603601398729465,"Prevotella"
"ASV_510",12.4817251311617,0.908844560703713,0.958597450832316,0.948098244904152,0.343079441676163,0.603601398729465,NA
"ASV_1",10546.3091390291,0.300223996492062,0.327282653609398,0.917323277543362,0.358973263099623,0.621505948053079,NA
"ASV_237",16.4770696282651,1.19773422642663,1.34674937749362,0.889351980734295,0.373813943466696,0.637682609443188,"Oscillibacter"
"ASV_644",3.30895532384604,-2.63131854511401,3.04122546952291,-0.865216529153557,0.386919954771785,0.6411816393361,"Faecalitalea"
"ASV_684",3.01484539853723,1.91969565784487,2.20929262598679,0.868918691559671,0.384891605150059,0.6411816393361,NA
"ASV_356",12.1403649539191,-2.0551967139844,2.42249735652621,-0.848379342271602,0.396226743459437,0.646678123507351,"Megamonas"
"ASV_362",10.3488976909081,0.859659319342383,1.0366670599218,0.829253048136044,0.406961232896868,0.646678123507351,"Holdemania"
"ASV_804",5.02689350967719,-1.30405872469677,1.55783991298778,-0.837094180104631,0.402539631506647,0.646678123507351,"Oscillospira"
"ASV_128",41.3051174946331,1.04532510807905,1.28478420876359,0.813619206205072,0.415863131664743,0.651893557744733,"Lachnospiraceae NK4A136 group"
"ASV_19",446.563206370349,0.507681259938177,0.667205349946944,0.760907058042247,0.446712582550945,0.659457486385892,"Monoglobus"
"ASV_69",326.292101147502,-0.41710678219454,0.553742160858217,-0.753250902095097,0.451299156536805,0.659457486385892,"Butyricicoccus"
