"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Late","ASV_334",70,3698.80507085367,0.000457038391224863,0.0043299146721884,0.00432991467218852
"Late","ASV_282",44,3607.82083548065,0.000459347726228755,0.0217271121673101,0.0217271121673103
"Late","ASV_150",33,3598.8910081725,0.000448229493500672,0.00804281839133477,0.00804281839133477
"Late","ASV_389",60,3564.86571908673,0.00049825610363727,0.158049965466,0.158049965466
"Late","ASV_190",122,3501.36920887618,0.000472589792060492,0.00699820318785477,0.00699820318785491
"Late","ASV_293",138,3496.52303922659,0.000499251123315027,0.679403890879172,0.679403890879172
"Late","ASV_399",52,3431.59638535468,0.000452693526482571,0.0556985626339028,0.0556985626339029
"Late","ASV_119",70,3244.20231261181,0.000455166135639508,0.00346059395047262,0.00346059395047267
"Late","ASV_124",124,3210.30397274991,0.000490196078431373,0.623537932594443,0.623537932594443
"Late","ASV_164",110,3150.16022048817,0.000474608448030375,0.528341711397219,0.528341711397219
"Late","ASV_217",41,3139.49129439731,0.000375375375375375,0.00053672214517773,0.000536722145177808
"Late","ASV_671",181,1653.60953540645,0.000485908649173955,0.934043725273981,0.934043725273981
"Late","ASV_307",185,1546.58609001957,0.000484730974309258,0.950911980914579,0.950911980914579
"Late","ASV_391",179,1151.86554285308,0.000472143531633617,0.91902928439446,0.91902928439446
"Late","ASV_971",173,1105.46125798873,0.000481463649494463,0.934337467783216,0.934337467783216
"Late","ASV_1037",198,1072.84874417315,0.000502260170768458,0.998112547149426,0.998112547149427
"Late","ASV_920",198,1056.31901954195,0.000502260170768458,1,1
"Late","ASV_445",197,1054.72919789969,0.000502008032128514,0.995396697558154,0.995396697558154
"Late","ASV_583",197,1054.72919789969,0.000502008032128514,0.995396697558154,0.995396697558154
"Late","ASV_794",196,1034.0107568157,0.000501756146512795,0.99658372894085,0.99658372894085
"Late","ASV_981",197,1027.52554741509,0.000502008032128514,0.999113979171394,0.999113979171394
"Late","ASV_810",191,1025.40858100334,0.0004995004995005,0.983397626708504,0.983397626708504
"Late","ASV_456",196,998.917471516148,0.000501756146512795,0.996447725751686,0.996447725751686
"Late","ASV_1014",196,995.51737525539,0.000501756146512795,0.996681418939622,0.996681418939622
"Late","ASV_336",194,970.244656022699,0.000501002004008016,0.990177971183793,0.990177971183793
"Late","ASV_302",193,959.468102327374,0.000500751126690035,0.986366455079247,0.986366455079247
